date, pm25, pm10, o3, no2, so2
2019/8/1, 82, 49, 60, 4, 5
2019/8/2, 84, 33, 61, 3, 5
2019/8/3, 51, 26, 43, 3, 6
2019/8/4, 44, 22, 43, 4, 5
2019/8/5, 36, 18, 20, 4, 4
2019/8/6, 29, 20, 32, 5, 5
2019/8/7, 30, 22, 38, 5, 5
2019/8/8, 37, 25, 63, 6, 6
2019/8/9, 37, 18, 53, 3, 5
2019/8/10, 36, 18, 35, 4, 6
2019/8/11, 26, 18, 22, 2, 4
2019/8/12, 25, 23, 30, 2, 4
2019/8/13, 30, 21, 15, 1, 3
2019/8/14, 25, 30, 17, 1, 2
2019/8/15, 37, 37, 36, 3, 4
2019/8/16, 49, 35, 42, 3, 4
2019/8/17, 60, 32, 54, 3, 6
2019/8/18, 56, 41, 63, 4, 5
